,timestamp,text
0,2014-10-14,"$GDP News: ""Actives on open @CBOE: $ AAPL $TSLA $TWTR $C $GDP $AMZN $DRYS $VZ …"" https://t.co/7Q6GX3gUuS Board view: https://t.co/3mM5DHJBo5"
1,2015-06-20,RT @philstockworld: PSW/Seeking Alpha June Trade Review: $FXI $EWJ $VZ $IRBT $LL $USO #TopTrades -- http://t.co/NzXAyYsC0K http://t.co/vNyC…
12,2016-03-03,"$VZ:

Reilly Financial Advisors LLC Buys 9954 Shares of Verizon …:

https://t.co/o9z2aAMA1x"
13,2015-02-10,Weekly S&amp;P100 #Stocks Performance $FCX $DIS $GM $DOW $CMCSA $BAC $DD $BK $HAL $CAT $VZ $PFE $F $JPM $CVX  more@ http://t.co/cKkr8csQUU
14,2015-02-10,VZ 49.14 Verizon Communications Inc $VZ added to my watch list. Right now with VZ I am watching the last price http://t.co/PPQRlyg0J5
15,2015-02-10,"$VZ $T:

Sprint Earnings Review And The Way Forward (S):

http://t.co/WqYsb1di4g"
16,2015-05-07,"Tip #4 How to identify a HOT SECTOR? http://t.co/ewe2BDWPGF #stocks #trading $ASNA $V $TASR $VZ $OVTI 
$GDP $SWIR $VTAE $EYES $IBB"
17,2015-05-07,"VHCOX Vanguard Capital Opportunity Fund Shares
Click Here -&gt; http://t.co/sV6qIlzqRD

Trending $VHCOX $VZ $RUSS $CNE.TO #VHCOX…"
18,2014-08-20,"overpriced? If you have a superior product, you could charge 4x as much as competitor and the junkies would pay for it. #BreakingBad $VZ"
19,2014-08-20,$FOLD Upgraded to Strong Buy  Amicus Therapeutics announces positive Phase 3 data From Fabry Monotherapy study $SPY $DIA $QQQ $AMZN $FB $VZ
20,2015-02-17,Share Price of Verizon Communications Inc. Drops by -0.04% $VZ http://t.co/3w2ELS1fQu
21,2015-02-17,$VZ - Statement of Changes in Beneficial Ownership (4) http://t.co/3dNezJFklf
22,2014-08-18,"$VZ - Verizon Wireless Enhances 4G LTE Coverage in Glastonbury, Connecticut http://t.co/0aiYme7E54"
23,2015-06-27,"Funds seeking higher payout from Verizon for AOL holdings http://t.co/pmTUYOVjPE $VZ, $AOL"
24,2015-06-27,"RT @WaltBTIG: $43 Billion @FCC spectrum auction  
$36B $VZ wireless EBITDA
$27B $T wireless EBITDA
$33B Wless capex of VZ+T+S+TMUS
$33B $DI…"
25,2015-06-27,"FRSH Papa Murphy's Holdings, Inc. % Change
http://t.co/ren5CxRlQG

$FRSH $NUGT $VZ $HZNP #FRSH #nasdaq #invest"
26,2014-10-13,Our Penny Stock Alerts have gained over 400% In The Past Week! Subscribe today: http://t.co/f22do3G0Oo $GM $KSS $VZ
27,2014-10-13,France's Iliad drops plan to buy T-Mobile US http://t.co/Ita57Bm8g4 $DTE $ILD $VZ $DISH $T $TMUS $S
28,2015-01-30,$VZ - DISH Surprise Winner in Wireless Spectrum Auction -- 2nd Update http://t.co/ce0dK2jlWa
29,2015-01-30,"$CVC $VZ:

Cablevision sues Verizon over false WiFi advertising:

http://t.co/jjQqNENhG1"
30,2015-01-30,"RT @WaltBTIG: .@FCC auction (paired) $/Mhz/POP
$T $2.88
$VZ $2.92
$TMUS $1.63
$DISH  $2.86 or $2.15 after D/E discount
http://t.co/ebk6hfee…"
31,2015-06-11,"CAT Caterpillar, Inc. 52Wk Low
http://t.co/orIgeq8OAy

$CAT $VZ $CAT $FEYE #CAT #pennystocks #tradeideas"
32,2015-06-11,RT @SeekingAlpha: Shell No! I Won't Go Back To Rule-Changing Oil Giant http://t.co/gfD58lq6Wg $AVA $CVX $KMI $T $VZ $XOM $RDS.A
33,2015-06-11,"$VZ:

Verizon Communications Inc. Analyst Rating Update:

http://t.co/BFxqtlDFES…"
34,2015-01-06,"Starting $AOL short as $VZ denies the BS takeover rumors. 46.07 starter, have room to add."
35,2015-01-06,"RT @sallyshin: Verizon CEO: Not in talks for big acquisition, but potential JV including with AOL a 'potential for us' $VZ $AOL @SquawkAlley"
36,2015-01-06,RT @taralach: “@BloombergDeals: BREAKING: #Verizon said to approach #AOL about possible takeover or venture. Link coming. $VZ $AOL”
37,2015-01-06,"After 968% Gains In 5 Weeks, A New Penny Stock Pick Is Coming Tomorrow! Get It Early: http://t.co/wpfVKv2xOh $GM $KSS $VZ"
38,2015-01-06,RT @theflynews: On The Fly: After Hours Movers   $AOL $VZ $NERV $KPTI $GPS $XOOM $CERS: Full Story http://t.co/2jcxo4sSt4
39,2015-01-06,Your cable Internet is about to get way faster. $BRCM $CMCSA $GOOG $VZ http://t.co/mXPEGqgSZE
40,2015-01-06,RT @UPBOptionMil: Tuesday Morning Reads http://t.co/CWDJrfiab3 $CAT $VZ $AOL $USO #news #business #oil VIX #predictions2015
41,2015-01-06,Benzinga's Top #PreMarket Gainers $VZ http://t.co/Zcj2weWqk0
42,2015-01-06,$VZ: Verizon Communications Target of Unusually Large Options Trading ... http://t.co/alvCTRk6dA http://t.co/X9I51iKW9O
43,2015-01-06,$VZ $GOOG: Verizon Communications Eyes Mobile Video Expansion; Looks To ... http://t.co/kgManGpOTf http://t.co/lC1zMuZfWV
44,2014-08-11,"60m $VZ  49.030  Price action Crossing up Median Resistance #stocks

Signals based on the Fish4Bot indicator
Pl... http://t.co/90tPQn3T8P"
45,2014-10-22,"Mix of post-paid phone sales on payment plans
$VZ EDGE 12%
$T Next 50%"
46,2015-01-01,RT @IBDinvestors: 2015 technology forecasts: Wearable technology innovation &gt; wearable sales http://t.co/P7iG8MNxtU $AAPL $T $VZ $MSFT $AMZ…
47,2015-06-16,"NRZ New Residential Investment Corp. Current Price
http://t.co/BhQ5QyFQJX

$NRZ $CDE $AGEN $VZ #NRZ #invest #tradeideas"
48,2015-06-16,"EWG Germany iShares Open
http://t.co/IoADRuOS16

$EWG $RMRK $MS $VZ #EWG #tradeideas #stock"
49,2015-02-26,"$VZ:

Verizon Communications Inc. (NYSE:VZ) Trends Higher: Showing ...:

http://t.co/YD4Gc1B0JT"
50,2015-02-26,FCC votes in favor of net neutrality $T $VZ $WIN $FTR
